OSN,OIC,LAT,LONG,CONTEXT,BIO_N,POLSUM,VCHL,ACLPH,ACNx,ACSt,AIZOx,ALL,ALt,AMRTHx,ACTRx,ALST,ANTHO,APIAx,APOD_d,ARTMa,APRG,ASTERx,AVCN,BARR,BEQ _mcr,BRSt_aeth,BRCHt,BDDJt_sal,BURKt_afr,CMPLx,CAPPx,CARYOx,CLSTR/HIPP,CELT,CLIFF,CLUT,COMBRx,COMLx,COMPH,CNVLx,CRASt,CROTt,CUPRS,CUSS,CYPRt,DICHST,DIOSP,DIPS_undiff.,DDN,DBYt,EBENx,ERICAx,EUCL,EPHRB,GNTEIAx,GERNx,GRWt,GUNNt,HLRGDx,HTRMt,ILXt,ISGL,JSTCt,LACTx,LAMx,LANNx,LACDx,LEGMx,LILIAx,LBSM,LDWGt,MALVx,MMSDx,MSPSt,MOHt,MONOLx,MRLt,MUTIx,MRS_af,MYRTx,NYCx,OLEA,OLCx,OPHGL,OXGN,PSSRx,PElLt,PTPH_af,PNTZt,PERIx,PTLDt,PHOEN,PIN,PLTG,POACx,PDCRP,PLGL,PLGN,POLYPDx,PROTx,PSRL,PSDRt,PTRDx,PTRSt,RNCLx,RVLF,REST,RHAMx,RHZO,RCC,RUBx,RMX,RSCHt,SAPOx,SCVL_plm,SCLCRt,SCROPHx,SRSt,SELG,SOLNx,SOLNt,SPRCHt,SPRSx,STB,STBt,SZGMt,TRCHNt,THYMt,TREMt_ornt,TRIB,TRILETx,TLBG,TYPH,UNID,UTRCL,WELT,WIDD
AS92CS16,7680,-32.08,26.12,Dung,Sub-Escarpment Grassland,235,78,0,0,0,3,0,0,9,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS92CS11,7679,-32.08,26.13,Dung,Sub-Escarpment Grassland,222,18,0,0,0,2,0,0,29,0,0,7,0,0,1,0,67,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AS92CS12,7682,-32.08,26.13,Dung,Sub-Escarpment Grassland,240,1,0,0,0,6,0,0,65,0,0,1,0,0,7,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,98,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
AS92CS13,7683,-32.08,26.13,Dung,Sub-Escarpment Grassland,172,1,0,0,0,7,0,0,32,0,0,2,0,0,2,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0
Nieuw Beth,8935,-31.843444,24.504689,Surface soil,Upper Karoo,250,0,0,0,0,76,0,0,10,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,2,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,5,0,0,0
Loodsb P,8934,-31.835511,24.858719,Surface soil,Dry Highveld Grassland,200,0,0,0,0,3,0,0,20,0,0,3,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,0,0,1,0,0,3,0,0,0
AS92SCC8,1058,-31.692508,29.410012,Surface soil,Indian Ocean Coastal Belt,286,0,0,2,0,3,0,0,4,0,0,0,0,2,2,0,9,6,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,16,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,3,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,32,0,52,10,0,0,0,0,0,2,7,0,1,0,0,0,42,0,0,0,0,6,1,0,0,10,0,0,0,3,0,0,4,4,0,0,0,0,3,0,0,22,5,0,0
AS92SCC9,1059,-31.692508,29.410012,Surface soil,Indian Ocean Coastal Belt,260,0,0,1,0,6,0,0,17,0,0,1,0,0,0,0,2,6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,10,0,28,4,0,0,0,0,0,2,4,0,0,0,0,0,101,0,0,0,0,2,0,0,2,6,0,0,0,2,0,0,2,1,0,1,0,0,3,0,1,13,1,0,0
AS92SCC0,1060,-31.692508,29.410012,Surface soil,Indian Ocean Coastal Belt,255,0,0,6,0,1,17,0,5,0,0,2,0,5,1,0,5,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,5,0,20,56,0,0,0,1,0,13,5,0,0,0,0,0,32,0,0,0,0,13,0,0,0,3,0,0,0,1,0,0,3,1,0,0,0,0,2,0,0,9,0,0,0
Zoetvlei koppie,9608,-31.55,24.2317,Surface soil,Upper Karoo,242,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0
37F,F9685,-31.5455,24.3915,Filter,Upper Karoo,245,0,0,0,0,5,0,0,28,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0
36F,F9684,-31.5295,24.5794,Filter,Upper Karoo,248,1,0,0,0,6,0,0,23,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,3,0,0,0
Zoetvlei1,8929,-31.495014,24.265439,Surface soil,Upper Karoo,250,0,0,0,0,4,0,0,25,0,0,1,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Zoetvlei2,8930,-31.495014,24.265439,Surface soil,Upper Karoo,250,0,0,0,0,18,0,0,52,0,0,0,1,0,6,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,2,0,0,0
33S,S9686,-31.475,24.35,Surface soil,Upper Karoo,247,0,0,0,0,3,0,0,31,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
Haaskraal,8931,-31.46735,26.273833,Surface soil,Dry Highveld Grassland,250,0,0,0,0,2,0,0,54,0,0,0,0,0,2,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
AS92CS28,10413,-31.152932,25.067762,Dung,Dry Highveld Grassland,239,0,0,0,0,5,0,0,20,0,0,2,0,0,14,0,94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,22,1,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,8,15,0,0,0,0,0,0,26,0,2,0,0,0,0,0,0,0,0,0,0
AS92CS20,10416,-31.152932,25.067762,Surface soil,Dry Highveld Grassland,250,0,0,0,0,1,0,0,2,0,0,4,0,0,20,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,12,0,0,0,0,1,3,0,0,0,0,0,0
Meerkat,10457,-31.152932,25.067762,Surface soil,Dry Highveld Grassland,249,0,0,0,0,5,0,0,13,0,0,7,0,0,14,3,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,35,0,0,0,0,44,0,2,0,0,0,0,0,0,1,0,0,0
AS92CS29,10415,-31.143278,25.013775,Surface soil,Sub-Escarpment Grassland,245,0,0,0,0,3,0,1,29,0,0,2,0,0,0,3,102,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,4,0,0,0,0,0,1,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,8,0,0,0,0,0,0,4,0,23,0,0,1,0,0,0,9,0,0,0
AS92CS22,10417,-31.143278,25.013775,Dung,Sub-Escarpment Grassland,250,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oppermanskop,10414,-31.143278,25.0144,Surface soil,Sub-Escarpment Grassland,250,0,0,0,0,5,0,0,20,0,0,3,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,3,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,4,0,0,0
AS92CS27,9586,-31.14,25.06,Surface soil,Dry Highveld Grassland,253,0,0,0,0,3,0,0,5,0,0,4,0,0,1,0,79,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,118,0,1,0,0,0,0,0,0,0,0,0,0
34F,F9682,-31.0409,24.5237,Filter,Upper Karoo,244,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0
32S,S9681,-31.0136,24.5605,Surface soil,Upper Karoo,242,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
AS92CS23,7445,-30.98,25.73,Dung,Upper Karoo,236,0,0,0,0,11,0,0,14,0,0,3,0,0,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,84,1,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AS92CS24,7446,-30.98,25.73,Dung,Upper Karoo,238,0,0,0,0,0,0,0,3,0,0,5,0,0,2,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Badsfontein,7434,-30.870194,25.813469,Surface soil,Upper Karoo,272,0,0,0,0,99,0,0,25,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,1,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0
35F,F9683,-30.85,24.24,Filter,Upper Karoo,250,1,0,0,0,7,0,0,84,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0
AS92SCC7,1057,-29.81,31.04,Surface soil,Indian Ocean Coastal Belt,256,0,0,2,0,0,0,0,4,7,0,0,1,0,0,0,14,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,5,0,63,5,1,0,0,0,1,0,18,1,1,0,0,0,8,0,0,0,0,0,1,0,0,2,0,0,0,5,0,0,0,0,0,2,0,0,9,0,0,19,3,0,0
ASSCOT1,5890,-29.53,28.34,Surface soil,Drakensberg Grassland,300,0,0,0,0,12,0,0,3,0,0,17,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34,0,0,0,0,0,0,135,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0
